UID,ApplicationDate,Amount,Term,EmploymentType,LoanPurpose,Success
548147,11/01/2020,8000,36,Employed - full time,Car,0
557552,11/01/2020,2500,24,Employed - full time,Car,0
568159,11/01/2020,20000,60,Employed - full time,New car,0
569563,11/01/2020,9000,48,Employed - full time,Car,0
579523,12/01/2020,9000,60,Self employed,Car bill,0
580300,12/01/2020,13000,30,Employed - full time,Car fix,0
582981,12/01/2020,7000,48,Employed - full time,New car,1
585350,12/01/2020,10000,36,Employed - full time,Car,0
591721,12/01/2020,15000,60,Employed - full time,Car,0
598309,12/01/2020,4000,48,Employed - part time,Car,0
600142,13/01/2020,1000,36,Employed - full time,car,0
603129,13/01/2020,10000,36,Employed - part time,New car,0
615165,13/01/2020,8000,48,Retired,Car,0
616822,13/01/2020,12000,60,Employed - full time,new car,0
644147,14/01/2020,3500,36,Employed - full time,A Car,0
649497,14/01/2020,9000,60,Employed - full time,I want to buy a car,0
652378,14/01/2020,4994,36,Employed - full time,Car,0
652716,14/01/2020,17000,60,Employed - full time,Buy a car,0
654253,14/01/2020,10000,48,Employed - full time,New car,0
656260,14/01/2020,10000,48,Employed - full time,Car repair and family emergency,0
656997,14/01/2020,10000,36,Employed - full time,Car,0
660242,14/01/2020,10000,60,Employed - full time,car,0
668857,15/01/2020,2000,24,Employed - full time,car,0
674318,15/01/2020,16000,60,Employed - full time,Car,0
684241,15/01/2020,8000,60,Employed - full time,car,0
688037,15/01/2020,10000,60,Self employed,Car,0
713958,16/01/2020,10000,48,Employed - full time,Used Car,0
716100,16/01/2020,1000,36,Employed - full time,Car,0
720605,17/01/2020,8000,48,Employed - full time,Car insurance,0
725354,17/01/2020,20000,48,Employed - full time,Car Purchase,0
727271,17/01/2020,15000,48,Employed - full time,Car,0
733001,17/01/2020,9000,48,Employed - full time,Car repairs,0
749270,18/01/2020,10000,60,Employed - full time,Motorcycle,1
751971,18/01/2020,20000,36,Employed - full time,Car and Course,0
756787,18/01/2020,3000,36,Employed - full time,Car,0
766320,18/01/2020,10000,48,Employed - full time,car,0
767044,18/01/2020,18000,60,Employed - full time,car,0
770713,19/01/2020,15000,60,Employed - full time,Garden work,0
776832,19/01/2020,10000,60,Employed - full time,Bills  car finance,0
778509,19/01/2020,10000,48,Self employed,Car,0
779837,19/01/2020,5000,60,Employed - full time,Car,0
784518,19/01/2020,15000,60,Employed - full time,car,0
833864,21/01/2020,15000,60,Self employed,Car loan,0
835795,21/01/2020,6000,36,Employed - full time,Car,0
842257,21/01/2020,1000,30,Employed - full time,car,0
852610,21/01/2020,3000,18,Self employed,Car,0
855174,21/01/2020,15000,48,Self employed,Car,0
862822,22/01/2020,15000,54,Self employed,Purchase Motorcycle,0
867268,22/01/2020,8000,60,Employed - full time,car,0
867826,22/01/2020,7500,60,Employed - full time,Car,0
872613,22/01/2020,8000,60,Employed - full time,Car,0
882797,22/01/2020,15000,36,Employed - full time,car,0
884894,23/01/2020,9000,48,Employed - full time,car loan,1
898105,23/01/2020,10000,54,Employed - full time,Car,0
899652,23/01/2020,6500,24,Self employed,car,0
910309,24/01/2020,1000,24,Employed - full time,Buy Car,0
913839,24/01/2020,19000,48,Employed - full time,Vehicle purchase,0
921165,24/01/2020,10000,48,Employed - full time,car,0
926360,24/01/2020,20000,48,Employed - part time,cars,0
933833,24/01/2020,10000,36,Employed - full time,New car,0
946351,25/01/2020,3000,36,Employed - full time,car,0
946753,25/01/2020,10000,48,Employed - full time,Car loan,0
946754,25/01/2020,15000,36,Employed - full time,Car,0
947159,25/01/2020,15000,48,Self employed,Car,1
949531,25/01/2020,15000,54,Self employed,A Car,0
950240,25/01/2020,2000,24,Employed - full time,Car,0
955478,25/01/2020,15000,36,Employed - full time,Car repair,0
981119,26/01/2020,8000,24,Employed - full time,New Car,0
983393,26/01/2020,1500,12,Employed - full time,Car,0
1010665,27/01/2020,20000,60,Employed - full time,CAR,0
1013256,27/01/2020,15000,48,Self employed,Car repair,0
1017374,27/01/2020,12500,60,Self employed,Car loan,0
1030037,28/01/2020,1000,24,Self employed,Car,0
1033572,28/01/2020,15000,60,Employed - full time,Car,0
1040949,28/01/2020,4000,36,Employed - full time,Car,0
1070526,29/01/2020,12000,48,Employed - full time,A new van,0
1087174,30/01/2020,5000,36,Employed - full time,Car,1
1088765,30/01/2020,2000,24,Employed - full time,Car,0
1092434,30/01/2020,1000,60,Employed - full time,New car,0
1095744,30/01/2020,10000,48,Employed - full time,CAR,0
1114305,30/01/2020,15000,60,Employed - full time,Car,0
1118167,30/01/2020,12000,60,Employed - full time,buy a car,0
1122510,31/01/2020,7500,48,Employed - full time,Car,0
1141940,31/01/2020,4500,36,Employed - full time,Car,0
1142381,31/01/2020,5000,36,Employed - full time,Car,0
1149132,01/02/2020,1000,12,Employed - full time,car,0
1153999,01/02/2020,15000,36,Employed - full time,Car,0
1155033,01/02/2020,10000,60,Employed - full time,car,0
1158663,01/02/2020,13500,24,Employed - full time,Buy s car,0
1162022,01/02/2020,17000,54,Employed - full time,car,0
1169286,02/02/2020,4000,24,Self employed,Car,0
1170315,02/02/2020,15000,60,Employed - full time,car,0
1173855,02/02/2020,13000,36,Employed - full time,Car,0
1180584,02/02/2020,13000,36,Employed - full time,Car,0
1181545,02/02/2020,10000,48,Employed - full time,Car,0
1182990,02/02/2020,10000,48,Employed - full time,Car,0
1183102,02/02/2020,2700,36,Employed - full time,Car,0
1183221,02/02/2020,2000,36,Employed - full time,New Car,0
1249940,04/02/2020,8000,60,Employed - full time,car,0
1250948,04/02/2020,4000,36,Employed - part time,Vehicle repair,0
1265548,05/02/2020,8500,60,Employed - full time,pay off  loan /car,1
1270453,05/02/2020,6000,36,Employed - part time,buy a car,0
1272888,05/02/2020,5000,36,Self employed,Car,0
1273260,05/02/2020,7000,36,Employed - part time,Car,1
1279916,05/02/2020,10000,36,Self employed,Car,0
1281350,05/02/2020,7000,60,Employed - full time,Car,0
1286263,06/02/2020,15000,60,Employed - full time,motorcycle,0
1286976,06/02/2020,15000,48,Employed - full time,Car,0
1296294,06/02/2020,2000,36,Employed - full time,motorcycle,0
1301925,06/02/2020,3000,24,Employed - full time,car,0
1303852,06/02/2020,2000,24,Retired,Car,0
1305411,06/02/2020,10000,24,Self employed,Car,0
1307145,06/02/2020,3000,60,Employed - full time,Car Bills,0
1309852,06/02/2020,10000,48,Self employed,Motorcycle,0
1310959,06/02/2020,10000,48,Self employed,Car,0
1333630,07/02/2020,6000,48,Employed - full time,Car,0
1346424,08/02/2020,2650,48,Employed - part time,car repair,1
1351950,08/02/2020,9800,60,Employed - part time,Car,0
1361484,08/02/2020,9000,60,Employed - full time,Car,1
1363125,08/02/2020,12000,60,Employed - full time,Car,0
1367128,08/02/2020,3000,24,Employed - full time,Car,0
1370697,09/02/2020,3500,24,Employed - full time,Car,0
1372612,09/02/2020,3000,36,Employed - full time,New car,0
1378509,09/02/2020,2000,48,Self employed,car,0
1379607,09/02/2020,2000,36,Employed - full time,Car,0
1386862,09/02/2020,14000,48,Employed - full time,New Car,0
1390513,09/02/2020,5000,48,Employed - full time,"Car trouble, bills",0
1416158,10/02/2020,4500,24,Employed - full time,Car,0
1418013,10/02/2020,2000,60,Employed - full time,Car,0
1419482,10/02/2020,19000,60,Employed - full time,Car,0
1425574,10/02/2020,15000,54,Employed - full time,car,0
1443798,11/02/2020,20000,60,Employed - full time,car purchase,0
1447122,11/02/2020,15000,48,Employed - part time,Car,0
1455192,11/02/2020,11000,36,Employed - full time,Car purchase,0
1456983,11/02/2020,2000,60,Employed - full time,car repair,0
1462636,12/02/2020,5000,60,Employed - full time,Car,0
1487623,12/02/2020,2000,60,Employed - full time,Caravan,0
1487915,12/02/2020,1000,48,Employed - full time,car,0
1496198,13/02/2020,1000,60,Employed - full time,Car,0
1500006,13/02/2020,6500,48,Employed - full time,Car,0
1520850,14/02/2020,2000,24,Employed - full time,buy a car,0
1523805,14/02/2020,2000,24,Employed - full time,car,0
1532279,14/02/2020,7000,36,Employed - full time,Car,0
1546203,15/02/2020,15000,36,Employed - full time,Car purchase,0
1546909,15/02/2020,2000,48,Employed - full time,Car,0
1566292,15/02/2020,4000,24,Employed - full time,Car repairs,0
1567807,15/02/2020,10000,24,Employed - full time,Car,1
1588999,16/02/2020,10000,36,Employed - full time,Car finance,0
1593530,16/02/2020,15000,60,Employed - full time,Car,0
1595244,16/02/2020,4000,12,Employed - full time,Buy a car,0
1597698,17/02/2020,10000,60,Employed - full time,Car,0
1602796,17/02/2020,3000,36,Employed - full time,Motorbike,0
1604267,17/02/2020,15000,60,Employed - full time,car loan,0
1608273,17/02/2020,2000,24,Employed - full time,Car,0
1622725,17/02/2020,18000,36,Employed - full time,car,0
1626560,17/02/2020,15000,60,Self employed,Car,0
1628437,18/02/2020,3500,36,Self employed,car deposit,0
1629988,18/02/2020,1400,18,Employed - full time,Car repair,0
1641241,18/02/2020,17000,60,Employed - full time,Car,0
1648746,18/02/2020,12000,60,Employed - full time,car,0
1650010,18/02/2020,3000,36,Employed - full time,Car,0
1661381,19/02/2020,14000,48,Employed - full time,Car,0
1664130,19/02/2020,15000,48,Self employed,Car,0
1668223,19/02/2020,1000,12,Self employed,car,0
1675606,19/02/2020,7500,48,Self employed,Car bill,1
1680771,19/02/2020,5000,24,Employed - full time,car,0
1688787,20/02/2020,4795,48,Employed - full time,Car,0
1703757,20/02/2020,1500,24,Employed - full time,Car,0
1708025,20/02/2020,1500,12,Employed - full time,car repairs,0
1713323,21/02/2020,10000,24,Employed - full time,Motor bike,0
1733776,21/02/2020,7000,36,Employed - full time,Car,1
1734319,21/02/2020,20000,36,Employed - full time,Car,0
1742696,21/02/2020,10000,36,Employed - full time,used car,0
1751733,22/02/2020,8500,54,Employed - full time,Car,0
1756492,22/02/2020,1000,12,Self employed,Car,0
1757930,22/02/2020,15000,60,Employed - full time,car,0
1759089,22/02/2020,4000,24,Employed - full time,Car,0
1766199,22/02/2020,15958,60,Self employed,Car repair,0
1777955,23/02/2020,20000,60,Employed - full time,Car repairs,0
1779537,23/02/2020,13000,48,Self employed,new car,0
1781655,23/02/2020,9390,60,Employed - full time,new car,0
1782255,23/02/2020,7915,48,Employed - full time,Car,0
1787949,23/02/2020,15000,60,Employed - full time,car,0
1791895,23/02/2020,15000,60,Employed - full time,Car,0
1791933,23/02/2020,15000,60,Employed - full time,car,0
1791965,23/02/2020,10000,60,Employed - full time,car,0
1810383,24/02/2020,5000,12,Self employed,Car purchase,0
1810883,24/02/2020,1000,12,Employed - full time,Car,0
1819407,24/02/2020,13000,60,Employed - full time,c van,0
1829045,25/02/2020,4000,36,Employed - full time,Car,0
1829772,25/02/2020,11000,60,Employed - full time,new car,1
1841694,25/02/2020,10000,60,Self employed,Car repairs,0
1855254,26/02/2020,9000,60,Employed - full time,car,0
1856216,26/02/2020,15000,48,Employed - full time,New car,0
1873929,26/02/2020,11500,48,Employed - full time,car repairs,0
1883328,27/02/2020,15000,36,Employed - full time,car,0
1884544,27/02/2020,2000,12,Employed - full time,Car,1
1905419,28/02/2020,1800,24,Self employed,car,0
1907964,28/02/2020,14000,48,Employed - full time,car repairs,0
1908801,28/02/2020,7000,48,Employed - full time,car,0
1933425,28/02/2020,16000,60,Employed - full time,Car,0
1934261,28/02/2020,1500,36,Employed - full time,motorbike,0
1934382,28/02/2020,5000,42,Retired,car,0
1943498,29/02/2020,13500,36,Self employed,CAR,0
1944056,29/02/2020,2000,24,Employed - full time,towards a car,0
1951815,29/02/2020,10000,36,Self employed,Car repair,0
1958493,29/02/2020,9000,36,Employed - full time,Car,0
1979832,01/03/2020,8000,60,Employed - full time,Quick ter  cash,0
1995223,01/03/2020,7000,48,Employed - full time,Car,0
1999079,01/03/2020,2500,36,Self employed,car,0
1999092,01/03/2020,7500,36,Self employed,Car repair,0
1999198,01/03/2020,4000,24,Self employed,Car loan,0
2017878,02/03/2020,10000,48,Employed - full time,Car,0
2026138,02/03/2020,8000,36,Employed - full time,Car repair,0
2027596,02/03/2020,15000,36,Employed - full time,car,0
2036934,03/03/2020,10000,60,Employed - full time,Car,0
2037842,03/03/2020,15000,54,Employed - full time,Motorbike,0
2046916,03/03/2020,7500,36,Employed - full time,Car,0
2048059,03/03/2020,8000,54,Employed - full time,Car,0
2053081,03/03/2020,5000,12,Employed - full time,Vehicle purchase,0
2056219,03/03/2020,10000,48,Employed - full time,car,0
2056270,03/03/2020,10000,36,Employed - full time,Car,0
2059387,03/03/2020,15000,60,Employed - full time,van,0
2062589,04/03/2020,12000,48,Self employed,car loan,0
2073454,04/03/2020,10000,48,Employed - part time,car,0
2080794,04/03/2020,15000,60,Self employed,Car,0
2092298,04/03/2020,15000,36,Employed - full time,Car,0
2098980,05/03/2020,3000,24,Employed - full time,Car,0
2107409,05/03/2020,8000,48,Employed - full time,Car and learning to drive,0
2109524,05/03/2020,10000,60,Employed - full time,new car,0
2109995,05/03/2020,500,12,Employed - full time,car,0
2112814,05/03/2020,12000,60,Employed - full time,Car,0
2114320,05/03/2020,10000,60,Employed - full time,Car Loan,0
2119046,06/03/2020,10000,48,Employed - full time,Unexpected purchase,1
2119646,06/03/2020,1000,12,Employed - full time,Car,0
2148274,07/03/2020,9000,24,Self employed,Car,0
2153305,07/03/2020,7500,48,Self employed,car,0
2155044,07/03/2020,9000,36,Employed - full time,New car,0
2159522,07/03/2020,8000,48,Employed - full time,New car,1
2160485,07/03/2020,12500,48,Employed - full time,car loan,0
2160607,07/03/2020,17000,60,Employed - full time,car,0
2167375,07/03/2020,1000,24,Employed - full time,new car,0
2168920,08/03/2020,5500,48,Employed - full time,Buying a car,0
2169717,08/03/2020,1000,24,Employed - full time,Car repairs,0
2172797,08/03/2020,18000,48,Employed - full time,car,0
2176122,08/03/2020,10000,48,Employed - full time,Repairs on my car,0
2179885,08/03/2020,3000,36,Employed - part time,car,0
2183679,08/03/2020,15000,48,Employed - full time,Car deposit,0
2186434,08/03/2020,11000,36,Employed - full time,Car,0
2190373,08/03/2020,5000,24,Self employed,Car repairs,0
2200200,09/03/2020,5000,36,Employed - full time,car repairs,1
2211251,09/03/2020,13791,36,Employed - full time,New Car,0
2212501,09/03/2020,9000,36,Self employed,Car,0
2239561,10/03/2020,5500,60,Employed - full time,Car bills,0
2244697,10/03/2020,15000,48,Employed - full time,Car,0
2250043,10/03/2020,10000,36,Employed - full time,car,0
2267506,11/03/2020,6500,60,Employed - full time,Vehicle,0
2268880,11/03/2020,10000,36,Self employed,Car repair,0
2274639,11/03/2020,2000,36,Employed - full time,Car,0
2275257,11/03/2020,5000,48,Employed - full time,Car,0
2280230,11/03/2020,8000,48,Employed - full time,New car repay old loan in full,1
2293245,12/03/2020,500,12,Employed - part time,car n moving,0
2293397,12/03/2020,10000,60,Employed - full time,New car,0
2297748,12/03/2020,5000,60,Employed - full time,Vehicle purchase,0
2303914,12/03/2020,3000,24,Employed - full time,Car,1
2305675,12/03/2020,1000,24,Employed - full time,Car Loan,0
2309648,12/03/2020,11000,60,Self employed,Car and insurance,0
2337469,13/03/2020,6000,48,Employed - full time,Car,0
2348068,13/03/2020,7000,36,Employed - full time,Car,0
2348514,13/03/2020,10000,48,Employed - full time,Car,1
2349320,13/03/2020,10000,60,Self employed,Car,0
2352205,13/03/2020,20000,60,Employed - full time,car,0
2355025,14/03/2020,9000,36,Employed - full time,Car,0
2356100,14/03/2020,7500,36,Employed - full time,Car,0
2361721,14/03/2020,5000,36,Employed - full time,Car,1
2374700,14/03/2020,5000,48,Employed - full time,Car,0
2389892,14/03/2020,500,12,Employed - full time,car expense,0
2394247,14/03/2020,12000,36,Employed - full time,Caravan deposit,0
2399742,14/03/2020,19600,60,Employed - full time,Car repairs,0
2417934,15/03/2020,1000,24,Employed - full time,Car,0
2435817,15/03/2020,10000,60,Employed - full time,Debt/car,0
2444848,15/03/2020,15000,48,Employed - full time,New car,0
2445283,15/03/2020,5000,36,Employed - full time,Debt/car,1
2500550,16/03/2020,13000,60,Employed - full time,replace my car,0
2512968,16/03/2020,9500,60,Employed - full time,car repairs,0
2521157,17/03/2020,7000,60,Employed - full time,Car,0
2543116,18/03/2020,2000,12,Employed - full time,Car,0
2544018,18/03/2020,10000,48,Employed - full time,Car loan,0
2547005,18/03/2020,10000,36,Employed - full time,car,0
2555255,18/03/2020,13120,36,Employed - full time,Home and Car Change,0
2572853,19/03/2020,15000,60,Employed - full time,Car,0
2580626,19/03/2020,13000,48,Employed - full time,New car,0
2584327,19/03/2020,10000,48,Self employed,Car,0
2590208,20/03/2020,5000,48,Self employed,Car,0
2605836,20/03/2020,8000,48,Employed - full time,Car,0
2606268,21/03/2020,10000,60,Employed - full time,car,0
2608063,21/03/2020,11000,36,Employed - full time,USED CAR,0
2616200,21/03/2020,7000,60,Employed - full time,Car,0
2619713,21/03/2020,5000,36,Employed - full time,Car,0
2619972,21/03/2020,9150,48,Employed - full time,Motorcycle,0
2622399,22/03/2020,1350,24,Employed - full time,Car,0
2634178,22/03/2020,10000,60,Employed - full time,New car,0
2648952,23/03/2020,3000,36,Employed - full time,Car,0
2650415,23/03/2020,6000,60,Employed - full time,Car,0
2652066,23/03/2020,6500,60,Employed - part time,Car,0
2663473,24/03/2020,11000,36,Employed - full time,Car,0
2668313,25/03/2020,1000,12,Employed - full time,Car,0
2677277,25/03/2020,1800,48,Employed - full time,used car,0
2692862,26/03/2020,3500,24,Employed - full time,Car,0
2712680,27/03/2020,5000,48,Employed - full time,Car,0
2713823,27/03/2020,5000,24,Employed - full time,Car,0
2716073,28/03/2020,12000,48,Employed - full time,car,0
2718804,28/03/2020,15000,60,Employed - full time,Car,0
2725679,28/03/2020,15000,54,Employed - full time,Car purchase,0
2727489,28/03/2020,10000,36,Employed - full time,Car,0
2728147,28/03/2020,1500,24,Employed - full time,change car,0
2760270,30/03/2020,12000,48,Employed - full time,Car,1
2766656,31/03/2020,7500,48,Employed - full time,Car,1
2776763,31/03/2020,17000,60,Employed - full time,Car,0
2778179,31/03/2020,5000,36,Employed - full time,car,0
2785143,01/04/2020,17000,60,Employed - full time,Car,0
2799294,01/04/2020,10000,60,Employed - full time,buying a car,0
2827047,02/04/2020,3000,48,Employed - full time,Bicycle for work,0
2830403,03/04/2020,2000,24,Employed - full time,Car,1
2840329,03/04/2020,15000,60,Employed - full time,car,0
2840371,03/04/2020,6500,48,Employed - full time,Car,0
2840629,03/04/2020,3000,12,Employed - full time,Car finance,0
2846148,03/04/2020,7000,48,Employed - part time,Car,1
2852168,03/04/2020,9500,60,Employed - full time,Car,0
2854997,03/04/2020,6500,48,Employed - full time,Car,0
2855350,03/04/2020,15000,60,Employed - full time,new car ect,0
2859288,04/04/2020,5000,24,Employed - full time,Car,0
2865606,04/04/2020,6500,48,Employed - full time,Car,0
2872479,04/04/2020,12000,24,Employed - full time,car,0
2872643,04/04/2020,12500,60,Employed - full time,Buing car,0
2874055,05/04/2020,17000,60,Employed - full time,Car,0
2874695,05/04/2020,6500,48,Employed - full time,Car,0
2875090,05/04/2020,6500,48,Employed - full time,New car,1
2878125,05/04/2020,2000,12,Employed - full time,Car,0
2882122,05/04/2020,6500,48,Employed - full time,car,0
2882646,05/04/2020,4000,48,Employed - full time,Car,0
2885204,05/04/2020,6500,48,Employed - part time,Car,0
2885727,05/04/2020,6500,48,Employed - full time,car,0
2885787,05/04/2020,3000,24,Employed - full time,Car repair,0
2886329,05/04/2020,1000,24,Employed - full time,Car,0
2887256,06/04/2020,6500,48,Employed - full time,New car,0
2888484,06/04/2020,8000,48,Employed - full time,car,0
2891795,06/04/2020,6000,60,Employed - full time,License and car,0
2898243,06/04/2020,6500,48,Employed - full time,Car,1
2899856,06/04/2020,6500,48,Employed - full time,car loan,0
2901116,06/04/2020,15000,60,Employed - full time,Car repairs,0
2902667,06/04/2020,6500,48,Employed - full time,Car repairs,0
2904330,07/04/2020,6500,48,Employed - full time,car,1
2908848,07/04/2020,5000,60,Employed - full time,new car,0
2919143,07/04/2020,6500,48,Employed - full time,Car,0
2920297,08/04/2020,6500,48,Employed - full time,car,0
2929266,08/04/2020,20000,60,Employed - full time,Car,0
2930878,08/04/2020,5000,36,Employed - full time,car,0
2931848,08/04/2020,8500,60,Employed - full time,van,0
2932933,08/04/2020,10000,48,Employed - full time,car,0
2935408,08/04/2020,6500,48,Employed - full time,Motorbike,0
2937599,09/04/2020,6500,48,Employed - full time,Car,0
2941451,09/04/2020,1500,24,Employed - full time,Car Repair,1
2942699,09/04/2020,10000,60,Employed - full time,Vehicle,0
2945189,09/04/2020,6500,48,Employed - full time,car,1
2948119,09/04/2020,6500,48,Employed - full time,A vehicle,0
2951786,09/04/2020,7000,48,Employed - full time,new car,1
2956021,10/04/2020,6500,48,Employed - full time,car,1
2958047,10/04/2020,2000,24,Employed - full time,car,1
2961073,10/04/2020,8000,48,Employed - full time,Car,0
2961885,10/04/2020,7000,54,Employed - full time,car loan,0
2963440,10/04/2020,4000,24,Employed - full time,Car repair,1
2963462,10/04/2020,15000,60,Employed - full time,car,0
2968004,10/04/2020,17000,48,Employed - full time,Car,0
2977444,11/04/2020,5000,60,Employed - full time,Car repairs,0
2980775,11/04/2020,10000,60,Employed - full time,Caravan,0
2981820,11/04/2020,6500,48,Employed - full time,car,1
2986493,12/04/2020,7000,48,Employed - full time,car repairs,0
2988453,12/04/2020,5000,36,Employed - full time,car,0
2989873,12/04/2020,6500,48,Employed - full time,Car,0
2991005,12/04/2020,6500,48,Employed - full time,Car,0
2992338,12/04/2020,15000,60,Employed - full time,New car,0
2993910,12/04/2020,7500,60,Employed - full time,Car Purchase,0
3001364,13/04/2020,10000,60,Employed - full time,Car,0
3019909,14/04/2020,6500,48,Employed - full time,Car,0
3023320,14/04/2020,6500,48,Employed - full time,Pay for a car,0
3025746,14/04/2020,15000,60,Employed - full time,Car,0
3031426,14/04/2020,15000,48,Employed - full time,Car,0
3039166,15/04/2020,6500,48,Employed - full time,Car,0
3045256,15/04/2020,6500,48,Employed - full time,Car bills,0
3053837,15/04/2020,1000,12,Employed - full time,Car,0
3064975,16/04/2020,13000,60,Employed - full time,Car bills,0
3068733,16/04/2020,6500,48,Employed - full time,car bills,0
3071898,17/04/2020,6000,48,Employed - full time,new car,0
3076583,17/04/2020,6000,24,Employed - full time,Car repairs,0
3078676,17/04/2020,1000,12,Employed - full time,Car,0
3083455,17/04/2020,7000,48,Employed - full time,Car,0
3085626,17/04/2020,5000,24,Employed - full time,car bills,0
3091358,18/04/2020,6500,48,Employed - full time,Car,0
3093155,18/04/2020,6500,48,Employed - full time,Car,0
3099490,18/04/2020,15000,60,Employed - full time,Car,0
3100020,18/04/2020,20000,48,Employed - full time,Car,0
3100724,18/04/2020,2000,24,Employed - full time,Car,0
3104248,18/04/2020,8500,60,Employed - full time,car repairs,0
3104994,18/04/2020,6500,48,Employed - full time,new car,0
3108368,19/04/2020,9000,60,Employed - full time,car maintenence,0
3109392,19/04/2020,10000,48,Employed - full time,Caravan,0
3110662,19/04/2020,4000,12,Employed - full time,Car,0
3111731,19/04/2020,10000,24,Employed - full time,car,0
3113056,19/04/2020,6500,48,Employed - full time,Car,0
3113173,19/04/2020,6500,48,Employed - full time,car,0
3113603,19/04/2020,10000,60,Employed - full time,Car purchase & home improvements,1
3113882,19/04/2020,6500,48,Employed - full time,New car,0
3116245,19/04/2020,6500,48,Employed - part time,Car,0
3118164,19/04/2020,5000,36,Employed - full time,Car repairs,1
3123144,20/04/2020,7000,24,Employed - full time,New car,1
3123829,20/04/2020,10000,12,Employed - full time,Car,0
3124687,20/04/2020,6500,48,Employed - full time,car,0
3125284,20/04/2020,4500,48,Employed - full time,car,1
3129858,20/04/2020,6500,48,Employed - full time,Car,0
3131879,20/04/2020,15000,24,Employed - full time,car,0
3131949,20/04/2020,6500,48,Employed - full time,Car repair,0
3133275,20/04/2020,5000,60,Employed - full time,New car,0
3139657,21/04/2020,2000,60,Employed - full time,Private health care,0
3140174,21/04/2020,6500,48,Employed - full time,Van,0
3140457,21/04/2020,6000,36,Employed - full time,car,0
3146789,21/04/2020,10000,48,Employed - full time,car,0
3158171,21/04/2020,6500,48,Employed - full time,Van,0
3159608,21/04/2020,6500,48,Employed - full time,car,0
3172532,22/04/2020,20000,48,Employed - full time,Car,0
3172684,22/04/2020,4000,24,Retired,car,0
3173065,22/04/2020,6500,48,Employed - full time,New car,0
3175190,22/04/2020,8000,48,Employed - part time,Car,0
3178550,22/04/2020,11000,60,Employed - full time,Car repairs,0
3182448,23/04/2020,20000,60,Employed - full time,Car damage,0
3186362,23/04/2020,2500,24,Employed - full time,Vehicle,0
3187765,23/04/2020,8000,48,Employed - full time,Car,0
3191258,23/04/2020,1000,12,Employed - full time,Car loan,0
3192359,23/04/2020,6500,48,Employed - full time,Car,0
3192776,23/04/2020,6500,48,Employed - full time,Buying a car,0
3197399,23/04/2020,6500,48,Employed - full time,Car finance,0
3197767,24/04/2020,6500,48,Employed - full time,Car,0
3198296,24/04/2020,6500,48,Employed - full time,Car,0
3199096,24/04/2020,10000,60,Employed - full time,Car,0
3199633,24/04/2020,3500,36,Employed - full time,New car,1
3201233,24/04/2020,20000,24,Employed - full time,Car insuance,0
3201390,24/04/2020,6500,48,Employed - full time,carloan,0
3203967,24/04/2020,9000,36,Employed - full time,buying a caravan,0
3212088,25/04/2020,6000,24,Employed - full time,Car,1
3213636,25/04/2020,8000,36,Employed - full time,Car purchase,1
3214987,25/04/2020,6500,48,Employed - part time,Car,0
3216960,25/04/2020,6500,48,Employed - full time,new car,0
