UID,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_TimeSinceMostRecentDefault,ALL_WorstPaymentStatusActiveAccounts
248290,302,2,70,11,22,1,17,59,33.17,15250,15250,-1,0
248594,238,14,20,12,1,0,0,8,78.25,207891,69546,-1,0
249840,197,4,26,12,1,0,5,14,73.27,160573,23657,-1,0
251266,320,2,26,14,1,0,3,12,90.81,31161,31161,-1,0
252583,146,1,6,6,0,0,4,0,30.5,1193,1193,-1,0
253964,232,6,19,15,0,0,2,4,71.89,18041,18041,-1,0
255595,154,0,18,13,1,9,3,5,53.5,5053,5053,-1,7
257007,82,9,10,6,0,0,1,4,39.1,1778,1778,-1,0
257370,91,4,4,2,0,1,1,2,47.75,670,670,-1,7
258900,181,1,13,9,0,0,2,4,64.0,10275,10275,-1,0
260381,159,6,13,9,2,3,5,4,48.0,11854,11854,-1,7
266667,61,1,24,8,3,5,5,16,33.46,4487,4487,-1,7
267345,173,13,33,13,1,3,0,20,43.52,6814,6814,-1,7
269187,153,2,19,12,2,0,2,7,55.79,157525,9583,-1,0
269512,232,15,13,7,0,0,0,6,73.0,8270,8270,-1,0
269829,56,3,8,7,1,0,3,1,25.12,596,596,-1,0
271091,178,2,33,15,4,0,7,18,60.12,89838,23243,-1,0
272337,76,3,98,12,22,1,21,86,18.27,6266,6266,-1,7
272581,262,7,22,12,0,0,3,10,71.5,43581,43581,-1,0
272936,124,4,19,13,2,10,3,6,55.63,6908,6908,-1,7
273061,238,1,18,15,0,0,3,3,71.83,91175,13299,-1,6
276261,97,2,38,25,8,1,10,13,37.39,14826,14826,-1,0
277122,118,1,22,13,3,1,6,9,32.05,6629,6629,-1,0
277251,87,5,31,9,2,2,4,22,38.19,5299,5299,-1,7
278709,94,4,13,9,0,5,3,4,53.38,1898,1898,-1,7
278839,225,3,12,5,1,0,2,7,64.25,152529,6921,-1,0
279051,194,3,27,15,1,2,5,12,56.52,60289,60289,-1,0
281296,176,1,14,8,1,1,2,6,46.86,33630,33630,-1,7
281680,95,3,33,13,6,10,7,20,37.33,11400,11400,-1,7
281845,233,1,25,10,3,0,4,15,74.6,69025,16943,-1,0
283142,181,2,23,14,0,9,4,9,89.83,6109,6109,-1,7
284189,246,6,25,16,1,0,1,9,49.28,33651,33651,-1,0
284406,80,1,10,9,0,5,1,1,40.4,1933,1933,-1,7
284971,268,3,41,19,3,0,4,22,88.59,148942,50953,-1,0
286296,87,2,21,17,0,4,5,4,31.1,5959,5959,-1,7
287342,151,12,15,6,0,6,0,9,62.8,5875,5875,-1,7
287863,454,8,29,16,3,4,1,13,125.14,206563,22103,-1,7
289958,70,2,13,7,2,3,3,6,41.69,4009,4009,-1,7
290091,267,1,31,14,2,0,2,17,86.42,47621,11929,-1,0
290740,203,2,10,7,2,1,7,3,29.5,2767,2767,-1,0
290922,92,1,21,15,3,2,5,6,35.62,20262,20262,-1,7
291728,390,14,9,7,0,1,0,2,177.22,22839,14312,-1,7
291965,67,1,21,15,1,0,8,6,29.1,15923,15923,-1,0
292069,191,2,14,6,3,0,6,8,58.79,8831,8831,-1,0
292097,126,1,19,17,2,2,5,2,37.79,6893,6893,-1,7
292125,99,5,48,9,1,0,2,39,34.31,19313,19313,-1,0
293318,39,4,8,8,0,0,2,0,22.5,1403,1403,-1,0
294786,279,29,7,7,0,0,0,0,84.86,6918,6918,-1,2
294870,151,23,13,7,0,4,0,6,88.85,19735,3977,-1,7
295556,217,1,18,10,1,0,2,8,86.17,117555,42516,-1,0
297260,90,7,14,12,1,9,3,2,47.64,4560,4560,-1,7
298571,159,4,37,9,2,7,2,28,60.54,2133,2133,-1,7
298582,138,11,7,6,1,0,1,1,50.71,2425,2425,-1,0
298870,124,14,6,5,0,0,0,1,54.33,113126,13126,-1,2
298988,166,2,29,20,4,0,6,9,36.79,17933,17933,-1,0
299358,147,2,9,6,0,0,2,3,47.44,3440,3440,-1,0
299379,112,6,10,6,1,3,3,4,43.4,3281,3281,-1,7
300810,154,18,23,5,5,6,0,18,48.68,13130,13130,-1,7
300934,362,1,59,32,9,0,17,27,52.27,51619,47885,-1,1
301859,150,18,52,13,4,11,0,39,40.35,5722,5722,-1,7
304292,339,58,15,6,0,0,0,9,125.27,124451,0,-1,0
304600,150,1,19,11,1,1,7,8,50.11,2610,2610,-1,0
305568,299,2,22,9,0,6,3,13,107.05,2514,2514,-1,0
305623,243,2,13,10,3,0,4,3,40.77,24021,24021,-1,0
307714,137,1,71,8,6,4,5,63,48.46,669,669,-1,7
308925,248,1,28,11,5,3,9,17,39.39,9474,9474,-1,7
311269,74,1,20,15,4,0,13,5,15.95,14898,14898,-1,0
311277,169,2,8,8,0,0,5,0,29.88,22256,22256,-1,0
312130,183,8,18,6,1,0,1,12,58.5,3749,3749,-1,0
313292,74,4,4,4,0,0,1,0,31.0,5384,5384,-1,0
315470,223,7,14,8,3,0,2,6,66.36,251272,14077,-1,0
315580,175,24,18,13,0,0,0,5,64.44,382587,13698,-1,0
316843,256,13,11,8,0,0,0,3,81.27,84418,30092,-1,0
318629,116,1,23,19,1,9,3,4,51.05,12370,12370,-1,7
320883,357,10,15,10,0,0,1,5,119.07,163147,9302,-1,0
321319,64,2,27,12,13,0,16,15,16.93,29264,29264,-1,0
321981,389,6,22,11,3,0,4,11,73.27,420957,73420,-1,0
322359,86,4,87,17,9,4,9,70,20.03,5737,5737,-1,7
322784,198,4,24,14,0,0,2,10,55.5,33435,33435,-1,0
323629,274,4,29,9,4,8,1,20,72.48,13366,13366,-1,7
324011,149,1,17,13,1,0,5,4,36.65,5023,5023,-1,0
330569,124,4,26,16,3,0,4,10,41.27,162444,58852,-1,0
331353,197,7,20,6,7,3,3,14,53.15,5573,5573,-1,0
332011,104,3,14,9,1,0,5,5,46.79,29515,29515,-1,0
332799,171,8,9,7,0,1,1,2,43.56,6425,6425,-1,7
335198,86,4,36,19,7,4,10,17,36.64,24842,24842,-1,7
335537,154,1,24,12,5,0,5,12,37.88,3364,3364,-1,0
337369,152,0,36,18,4,7,6,18,59.03,10100,10100,-1,7
337486,64,3,11,4,4,0,3,7,25.36,9522,9522,-1,0
339122,148,2,8,3,1,0,1,5,57.88,6435,6435,-1,0
339634,149,2,35,13,3,0,6,22,58.0,106732,2290,-1,0
339880,161,14,14,8,0,1,0,6,64.57,6521,6521,-1,0
340797,302,1,91,10,11,2,12,81,41.33,165173,7672,-1,7
341992,113,3,5,4,1,0,1,1,56.4,0,0,-1,0
343144,167,19,20,9,2,0,0,11,73.95,181782,19698,-1,0
343519,204,1,16,9,1,1,3,7,71.56,184318,14185,-1,0
345888,133,31,15,11,0,12,0,4,66.93,6156,6156,-1,7
346260,141,4,29,15,3,0,5,14,40.55,15312,15312,-1,0
347257,138,1,25,13,4,0,4,12,48.44,19433,19433,-1,0
348158,267,3,10,5,2,0,2,5,68.9,6777,6777,-1,0
348219,99,2,12,11,1,0,7,1,21.25,7659,7659,-1,0
349311,280,2,17,12,1,0,2,5,90.24,17003,17003,-1,0
349771,115,1,10,8,0,2,2,2,30.4,5551,5551,-1,7
350662,242,2,36,9,0,5,3,27,57.36,19000,19000,-1,7
351012,53,23,12,9,0,0,0,3,40.08,6236,6236,-1,0
351421,53,5,3,3,0,1,1,0,23.67,649,649,-1,7
353239,259,1,20,18,1,3,8,2,59.8,80507,10428,-1,7
356157,98,3,10,5,4,1,4,5,23.9,1371,1371,-1,0
358276,59,4,16,7,3,0,4,9,27.44,2595,2595,-1,0
358612,266,6,17,8,2,0,2,9,69.88,167751,15263,-1,0
359354,148,9,21,10,3,2,1,11,57.67,11209,11209,-1,7
359736,34,2,10,8,2,0,3,2,18.1,3036,3036,-1,0
360555,85,1,7,6,1,0,6,1,16.14,1793,1793,-1,0
361424,265,45,11,9,0,0,0,2,103.73,15760,12294,-1,0
361439,120,2,3,2,0,0,1,1,80.67,1721,1721,-1,1
363845,251,1,22,11,1,0,2,11,55.82,29752,29752,-1,0
364541,374,8,17,12,1,0,2,5,100.12,195864,7344,-1,0
365286,207,2,28,20,4,11,2,8,54.7,6737,6737,-1,7
365946,267,7,24,14,0,0,1,10,88.92,19058,4095,-1,0
366594,127,8,19,13,2,0,4,6,50.79,261191,52869,-1,0
366631,283,21,12,10,0,0,0,2,76.08,5802,5802,-1,5
367073,64,21,6,6,0,0,0,0,33.83,41559,41559,-1,0
367535,178,8,12,8,1,0,1,4,50.92,141085,17420,-1,0
368151,290,4,6,5,1,1,2,1,77.5,13752,13752,-1,7
370498,139,1,10,7,2,0,6,3,27.9,10944,10944,-1,0
371199,231,1,55,12,16,4,17,43,41.78,19054,19054,-1,7
371322,281,2,22,14,3,0,6,8,90.32,20035,20035,-1,0
372666,123,1,9,7,0,1,5,2,45.56,554,554,-1,7
372907,253,1,28,10,2,0,1,18,86.04,75782,4533,-1,0
376118,83,3,15,7,3,0,4,8,35.33,25750,25750,-1,0
377323,178,2,22,13,1,2,5,9,59.36,10752,10752,-1,0
378089,297,4,18,13,0,3,2,5,71.89,121296,23224,-1,7
378104,211,4,15,10,1,0,3,5,86.6,399239,120378,-1,0
378122,275,7,21,11,3,1,1,10,85.9,186364,13091,-1,7
378739,122,1,22,13,2,0,3,9,35.82,18791,18791,-1,0
380962,109,4,4,3,0,0,2,1,36.25,1370,1370,-1,0
381272,148,1,32,15,4,2,6,17,44.06,19141,19141,-1,7
381276,142,2,45,15,3,2,3,30,50.4,3344,3344,-1,7
382198,85,1,14,10,2,0,4,4,30.0,93413,25881,-1,0
382965,254,6,10,8,0,0,1,2,84.6,5139,5139,-1,0
383172,128,3,16,13,1,0,9,3,32.69,384874,37135,-1,3
383733,61,1,8,7,1,0,3,1,23.5,12541,12541,-1,0
385026,111,2,46,17,4,4,4,29,49.7,23613,23613,-1,7
385478,245,4,12,11,1,0,4,1,39.25,155719,3590,-1,1
387301,61,3,16,14,0,0,3,2,25.56,26329,26329,-1,0
387346,91,4,14,14,0,0,3,0,31.57,18803,18803,-1,0
387485,254,1,59,10,12,0,8,49,27.66,10283,10283,-1,0
389383,165,3,24,10,6,0,1,14,50.5,352089,18475,-1,0
391896,233,6,7,6,1,0,3,1,66.0,9629,9629,-1,0
398019,133,1,29,19,4,0,5,10,51.52,20627,20627,-1,0
398122,91,3,23,13,4,0,6,10,31.91,19205,19205,-1,0
399081,237,10,6,5,0,0,1,1,94.17,2797,2797,-1,0
399559,201,2,11,9,0,0,2,2,55.36,16334,16334,-1,1
399645,95,21,11,5,1,1,0,6,67.09,3132,3132,-1,0
401313,291,14,9,8,0,0,0,1,99.22,50952,10560,-1,0
401432,89,3,43,38,3,16,22,5,25.65,9483,9483,-1,7
402001,287,22,16,6,1,0,0,10,97.25,133327,196,-1,0
402868,143,3,31,15,0,0,4,16,57.68,136424,22861,-1,0
403232,363,24,13,6,0,0,0,7,118.15,77275,13400,-1,0
406560,104,26,9,4,0,3,0,5,46.11,6779,6779,-1,7
407785,41,3,6,5,0,1,3,1,16.33,509,509,-1,7
408333,192,1,21,8,3,3,4,13,74.62,107501,6157,-1,0
411248,232,6,15,9,0,0,3,6,69.67,1645,1645,-1,1
412057,210,8,19,11,1,0,2,8,53.26,136812,16445,-1,0
412451,273,5,6,4,0,2,1,2,98.33,11048,11048,-1,7
413147,52,2,7,6,0,0,5,1,14.57,2431,2431,-1,0
413981,39,3,5,5,0,0,1,0,20.0,2455,2455,-1,0
414203,290,4,26,12,3,0,3,14,88.96,296950,38577,-1,0
414730,221,7,27,18,1,0,1,9,73.56,201006,23167,-1,0
417707,281,3,18,10,1,0,2,8,79.06,14469,14469,-1,0
417859,98,9,11,6,0,0,4,5,38.27,252664,5057,-1,0
420282,146,1,24,9,2,0,1,15,59.12,37652,37652,-1,0
422409,126,7,29,19,1,11,2,10,58.68,15075,15075,-1,7
423582,62,1,14,8,2,2,3,6,32.43,4437,4437,-1,7
426001,195,3,16,12,0,0,1,4,91.81,289707,13761,-1,0
426356,223,2,32,21,7,8,13,11,38.03,6675,6675,-1,7
426945,47,2,21,17,2,0,10,4,15.24,20632,20632,-1,0
427215,122,2,12,11,1,0,6,1,19.33,7364,7364,-1,0
427443,68,15,12,10,0,9,0,2,43.42,22155,22155,-1,7
430143,249,8,35,18,2,0,1,17,75.6,248359,75327,-1,0
433876,37,6,2,2,0,0,1,0,21.5,0,0,-1,0
434956,49,5,3,3,0,0,2,0,21.33,778,778,-1,0
436476,314,7,25,16,0,5,1,9,106.88,516485,20079,-1,7
437385,123,2,23,13,2,0,8,10,42.91,21651,21651,-1,0
438688,282,26,4,4,0,0,0,0,156.0,279224,25943,-1,1
438916,104,10,11,10,0,6,1,1,58.82,1773,1773,-1,7
440344,105,2,6,4,1,1,2,2,30.0,1855,1855,-1,0
443541,256,4,27,16,0,3,1,11,57.85,4312,4312,-1,7
445262,138,2,8,4,3,0,3,4,60.25,17441,17441,-1,0
446598,289,14,16,8,2,0,0,8,75.94,15871,15871,-1,0
448091,65,3,10,5,5,3,2,5,29.5,2076,2076,-1,7
448472,124,3,8,6,0,0,1,2,31.75,392,392,-1,0
449197,18,2,5,5,0,0,3,0,10.0,0,0,-1,0
450335,148,14,3,3,0,0,0,0,65.0,567,567,-1,0
450459,184,5,10,5,2,0,1,5,79.4,274532,137,-1,0
451198,161,1,26,9,4,1,4,17,52.62,172354,27681,-1,0
452139,126,13,30,19,2,11,0,11,42.97,12258,12258,-1,7
452674,293,19,5,5,0,0,0,0,86.4,8802,8802,-1,0
452736,166,4,18,10,1,0,4,8,52.5,110812,8046,-1,0
454924,101,1,17,10,1,6,2,7,46.12,3264,3264,-1,7
456127,102,9,5,4,0,0,1,1,41.0,1406,1406,-1,0
457646,183,7,17,5,4,6,2,12,72.24,925,925,-1,0
459322,91,4,12,9,0,1,5,3,38.33,5469,5469,-1,7
459601,59,17,4,4,0,0,0,0,30.75,9316,9316,-1,0
460517,114,4,10,9,0,0,3,1,56.4,8309,8309,-1,0
461164,178,1,10,4,2,0,3,6,59.6,3038,3038,-1,4
461180,118,3,16,8,5,0,4,8,50.81,159181,10763,-1,0
462610,96,2,17,13,1,0,4,4,35.24,10272,10272,-1,0
463719,172,2,12,9,0,6,1,3,60.5,6873,6873,-1,7
466756,78,13,25,15,1,6,0,10,47.08,5229,5229,-1,7
467303,170,5,15,13,1,4,4,2,39.47,5413,5413,-1,7
468633,126,7,20,8,1,0,1,12,49.6,19940,19940,-1,0
469875,201,2,22,16,1,6,7,6,45.55,8410,8410,-1,7
470045,93,3,20,6,8,8,1,14,28.3,3702,3702,-1,7
470519,232,3,32,12,0,3,4,20,56.97,10595,10595,-1,7
473029,177,17,10,7,0,0,0,3,60.8,343799,15273,-1,0
474968,157,25,16,6,2,7,0,10,62.07,2160,2160,-1,7
475235,121,2,31,13,4,0,5,18,52.58,27467,27467,-1,0
475612,67,15,7,7,0,0,0,0,38.86,7152,7152,-1,0
477945,331,3,20,18,1,0,4,2,58.65,107415,8304,-1,0
478153,34,10,7,6,0,1,1,1,20.29,1664,1664,-1,7
478192,193,5,35,19,0,8,2,16,62.29,7968,7968,-1,7
478318,107,18,53,16,0,8,0,37,39.34,7182,7182,-1,7
479331,177,2,7,6,0,1,2,1,79.14,109092,7402,-1,7
482248,-1,-1,0,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1
483688,60,16,3,3,0,0,0,0,43.0,914,914,-1,4
484551,257,4,27,15,4,0,3,12,77.59,7162,7162,-1,0
485317,73,2,21,14,0,9,2,7,34.1,3388,3388,-1,7
488177,179,37,4,2,0,0,0,2,95.75,0,0,-1,0
489527,163,2,26,15,0,0,4,11,70.88,38551,38551,-1,0
490158,227,1,14,11,0,0,5,3,45.0,13989,13989,-1,0
495453,172,7,21,9,2,0,2,12,46.86,37331,37331,-1,0
497686,47,9,3,3,0,0,2,0,22.0,92,92,-1,3
498519,296,1,20,12,0,0,2,8,96.3,20526,20526,-1,0
499955,57,8,24,14,1,0,5,10,32.62,34481,34481,-1,0
500107,212,33,15,11,0,7,0,4,91.73,30101,30101,-1,7
500545,19,6,11,5,6,0,10,6,8.18,655,655,-1,0
501304,68,15,6,6,0,0,0,0,42.5,22935,22935,-1,0
501970,186,14,22,14,2,0,0,8,84.14,33127,33127,-1,0
502032,103,2,22,13,5,1,10,9,26.91,6180,6180,-1,7
502527,90,2,26,12,2,0,5,14,39.46,17906,17906,-1,5
502860,246,4,16,11,0,0,3,5,74.5,136369,19972,-1,0
502911,90,1,66,30,1,10,5,36,31.78,22264,22264,-1,7
503369,131,1,32,16,5,0,6,16,25.09,16286,16286,-1,5
505359,217,24,16,4,2,0,0,12,108.5,652,652,-1,0
506176,137,3,28,20,2,9,6,8,46.29,28391,28391,-1,7
507889,145,5,11,7,0,0,1,4,49.55,17261,17261,-1,0
509310,223,16,14,8,0,0,0,6,118.21,103063,1812,-1,0
509728,106,9,10,4,1,0,1,6,58.1,1249,1249,-1,0
510618,185,4,9,7,2,1,4,2,48.89,2384,2384,-1,7
511149,146,1,22,13,0,0,2,9,61.27,17729,17729,-1,0
514891,259,1,9,7,2,0,3,2,76.33,133377,9158,-1,1
515930,65,2,12,8,2,0,5,4,21.33,20502,20502,-1,0
516478,213,1,26,12,0,0,2,14,84.15,71755,71755,-1,0
518833,110,0,53,15,4,1,8,38,37.32,26013,26013,-1,7
519321,127,7,8,5,1,3,1,3,53.75,735,735,-1,7
519377,40,2,35,19,14,0,14,16,18.94,26631,26631,-1,0
519691,46,46,1,-1,0,0,0,1,46.0,0,-1,-1,-1
519707,156,10,20,9,0,0,2,11,72.9,139651,32596,-1,0
519727,271,8,17,7,3,0,1,10,95.71,103,103,-1,0
520740,89,6,7,3,1,0,1,4,41.86,1419,1419,-1,0
522223,251,6,14,9,1,0,2,5,73.36,15245,15245,-1,0
522387,139,1,21,16,1,5,7,5,43.33,14494,14494,-1,7
525901,199,76,8,6,0,2,0,2,122.0,80739,10678,-1,7
527763,255,5,18,13,1,0,4,5,105.17,24679,24679,-1,0
527840,167,4,20,14,1,2,2,6,61.9,42052,7162,-1,7
528411,154,5,29,14,4,0,1,15,64.17,158347,20216,-1,0
528641,153,3,7,6,0,0,3,1,66.71,6927,6927,-1,0
529942,195,2,19,6,4,3,4,13,52.32,10648,10648,-1,0
531624,119,0,24,16,1,2,7,8,32.38,9248,9248,-1,7
531725,158,1,23,12,4,0,4,11,46.22,27461,27461,-1,0
531928,150,1,23,15,3,6,6,8,39.0,16365,16365,-1,7
532515,222,1,26,16,1,0,5,10,61.08,123124,44832,-1,0
532686,47,14,9,5,1,0,0,4,28.89,4983,4983,-1,0
532699,148,2,17,10,4,0,5,7,36.53,182472,19259,-1,0
533580,205,4,37,13,1,0,3,24,76.89,195826,15380,-1,0
533733,100,1,16,13,1,0,3,3,26.12,54231,54231,-1,0
534359,288,3,22,11,3,0,5,11,60.64,211869,18302,-1,0
535170,229,11,34,21,3,0,1,13,91.53,153069,78637,-1,0
536493,72,3,7,3,3,0,2,4,26.0,2434,2434,-1,0
537523,135,5,12,4,1,2,2,8,57.0,5335,5335,-1,4
538224,159,2,23,15,1,5,5,8,54.65,21634,21634,-1,7
538892,2,1,2,2,0,0,2,0,1.5,0,0,-1,0
538929,443,2,27,13,1,1,2,14,95.26,3070,3070,-1,7
542430,64,57,3,3,0,3,0,0,60.0,1151,1151,-1,7
542871,52,7,4,4,0,0,2,0,26.0,0,0,-1,0
542943,87,9,13,8,1,3,2,5,44.38,3589,3589,-1,7
547694,161,16,23,8,0,0,0,15,60.52,96824,360,-1,0
548147,362,4,27,16,3,0,3,11,141.3,42888,42888,-1,0
548204,334,15,21,11,2,0,0,10,91.57,35478,19268,-1,0
549442,230,3,10,8,1,1,1,2,72.3,11289,11289,-1,7
551407,98,2,9,7,2,2,3,2,38.89,18151,18151,-1,7
553887,226,3,39,16,9,1,16,23,36.9,7575,7575,-1,7
555203,146,5,34,12,2,6,7,22,45.35,17860,17860,-1,7
556318,238,6,28,24,0,0,2,4,84.29,19692,19692,-1,0
557552,33,33,1,1,0,0,0,0,33.0,0,0,-1,0
560689,254,8,16,9,1,0,1,7,96.12,103493,14430,-1,0
561166,35,3,7,5,1,1,2,2,20.29,134,134,-1,0
561815,155,0,52,10,17,0,19,42,32.69,4307,4307,-1,0
563028,283,6,32,11,1,0,1,21,84.47,11773,11773,-1,0
564347,94,8,2,2,0,0,1,0,51.0,1098,1098,-1,0
566236,72,1,19,12,2,7,4,7,23.53,5563,5563,-1,7
568159,170,15,13,4,0,0,0,9,71.62,226456,4878,-1,0
569563,148,11,12,10,0,0,1,2,75.25,202847,799,-1,0
569579,8,7,3,2,1,0,3,1,7.67,181,181,-1,0
571084,281,57,6,5,0,2,0,1,157.5,935,935,-1,7
571412,118,32,2,2,0,0,0,0,75.0,3,3,-1,0
572266,177,1,16,11,2,0,1,5,65.75,29625,29625,-1,0
574160,113,9,10,7,1,0,2,3,36.8,26997,26997,-1,0
574565,280,8,24,11,5,0,4,13,72.25,211936,15965,-1,0
575413,295,1,24,17,3,0,6,7,81.38,352734,28156,-1,0
575547,115,10,33,19,3,14,3,14,51.91,10640,10640,-1,7
575674,12,12,1,1,0,0,0,0,12.0,1923,1923,-1,0
576544,273,1,56,17,4,0,10,39,34.71,152025,66426,-1,0
578699,98,8,8,6,2,0,5,2,21.75,1021,1021,-1,6
579523,156,1,24,12,5,5,3,12,38.42,5307,5307,-1,7
579958,999,12,12,9,0,4,0,3,226.83,7641,7641,-1,7
580218,189,2,10,7,0,0,1,3,89.6,27146,11247,-1,0
580300,89,5,14,12,0,0,2,2,44.5,726383,32168,-1,0
580973,62,3,13,7,1,0,5,6,20.0,15689,15689,-1,0
582981,164,2,7,4,1,0,1,3,81.29,143627,2305,-1,0
583072,152,0,7,5,0,1,1,2,46.57,977,977,-1,7
583380,205,7,21,5,1,0,3,16,50.48,7040,7040,-1,0
585142,175,7,11,9,0,0,4,2,59.09,5766,5766,-1,0
585350,406,2,17,11,1,0,3,6,113.41,13575,13575,-1,0
586461,37,37,1,1,0,0,0,0,37.0,347,347,-1,0
587480,159,7,14,12,0,0,2,2,48.86,24024,24024,-1,0
587761,168,4,26,15,1,0,2,11,88.85,32817,12590,-1,0
591721,156,2,12,7,2,0,3,5,50.83,17923,17923,-1,0
592378,214,1,12,11,1,0,4,1,60.42,3633,3633,-1,0
593248,246,1,11,4,2,1,3,7,80.73,1430,1430,-1,0
596903,32,2,3,3,0,0,2,0,12.33,615,615,-1,0
598309,119,2,14,9,0,0,1,5,72.43,265601,381,-1,1
599030,137,6,10,8,2,7,1,2,56.7,2535,2535,-1,7
600029,71,1,18,11,0,8,1,7,41.17,3540,3540,-1,7
600142,62,18,9,6,1,5,0,3,36.11,10814,10814,-1,7
600992,311,2,40,15,2,4,3,25,57.55,106408,25965,-1,0
602023,57,2,14,10,0,0,3,4,24.71,26144,26144,-1,0
602646,132,3,11,7,1,0,2,4,65.27,66068,486,-1,0
602907,161,10,10,7,0,6,1,3,81.9,6907,6907,-1,7
603114,105,1,9,7,0,3,3,2,45.22,6609,6609,-1,7
603121,180,9,14,7,1,0,1,7,63.57,16454,16454,-1,0
603129,181,1,19,13,3,0,6,6,39.11,11131,11131,-1,0
605582,89,4,11,7,1,0,1,4,53.27,2561,2561,-1,0
605866,238,20,11,8,0,0,0,3,90.09,32411,32411,-1,0
606234,79,3,6,6,0,1,3,0,36.17,1224,1224,-1,7
606308,217,2,33,17,2,0,6,16,51.64,180526,51434,-1,2
611721,161,7,14,10,1,6,1,4,52.36,61265,11373,-1,7
612238,137,6,23,11,1,0,1,12,55.0,101396,12610,-1,0
612901,277,2,27,15,5,0,3,12,80.63,57602,27555,-1,0
612939,415,12,17,14,0,0,0,3,139.18,106800,42307,-1,0
612952,65,1,15,9,1,2,4,6,32.93,26441,26441,-1,7
615058,216,5,14,11,2,0,2,3,121.64,13894,13894,-1,0
615165,170,12,5,2,1,0,0,3,104.0,0,0,-1,0
616789,279,1,22,14,1,2,2,8,83.27,31544,4851,-1,7
616822,138,1,22,12,1,0,5,10,36.77,117691,16334,-1,0
618162,120,0,9,5,0,1,3,4,57.78,1197,1197,-1,7
620245,161,3,34,19,2,0,5,15,69.91,42060,42060,-1,0
620787,154,2,24,17,1,7,3,7,40.58,11990,11990,-1,7
622581,267,3,24,9,5,2,2,15,78.79,13129,13129,-1,0
623602,210,18,10,6,1,2,0,4,72.6,1509,1509,-1,0
625549,237,6,13,5,2,3,1,8,72.69,4333,4333,-1,7
628139,222,11,12,8,0,0,1,4,76.67,21261,21261,-1,0
